Name,Gender,Count
Goldie,F,36138
Leola,F,27961
Margret,F,9978
Adaline,F,9517
Floy,F,6611
Idella,F,6500
Juanita,F,207178
Lenna,F,3647
Lucie,F,6576
Missouri,F,1558
Nola,F,23159
Zoe,F,126893
Eda,F,4064
Isabell,F,14540
James,F,23399
Julie,F,508338
Letitia,F,11391
Madeline,F,187472
Malissa,F,8826
Mariah,F,108579
Pattie,F,9503
Vivian,F,207837
Almeda,F,4402
Aurelia,F,13341
Claire,F,186762
Dolly,F,19907
Hazel,F,260372
Jannie,F,14789
Kathleen,F,711909
Kathrine,F,15650
Lavinia,F,5125
Marietta,F,14808
Melvina,F,6629
Ona,F,7743
Pinkie,F,3881
Samantha,F,574614
Susanna,F,18763
Chloe,F,210125
Donnie,F,7126
Elsa,F,28781
Gladys,F,266287
Matie,F,579
Pearle,F,2820
Vesta,F,8140
Vinnie,F,3087
Antoinette,F,78290
Clementine,F,9771
Edythe,F,13825
Harriette,F,8686
Libbie,F,2441
Lilian,F,16899
Lue,F,6474
Lutie,F,735
Magdalena,F,17700
Meda,F,1882
Rita,F,283228
Tena,F,8117
Zelma,F,16728
Adelia,F,5129
Annetta,F,8764
Antonia,F,32732
Dona,F,18841
Elizebeth,F,4593
Georgianna,F,9088
Gracie,F,74828
Iona,F,11798
Lessie,F,14065
Leta,F,11848
Liza,F,16770
Mertie,F,1830
Molly,F,165107
Neva,F,20797
Oma,F,9593
Alida,F,4464
Alva,F,8679
Cecile,F,20268
Cleo,F,30682
Donna,F,830845
Ellie,F,64422
Ernestine,F,44012
Evie,F,14169
Frankie,F,33572
Helene,F,33082
Minna,F,2938
Myrta,F,956
Prudence,F,5653
Queen,F,14859
Rilla,F,2584
Savannah,F,169654
Tessie,F,9917
Tina,F,291566
Agatha,F,8695
America,F,12705
Anita,F,214013
Arminta,F,776
Dorothea,F,33906
Ira,F,5912
Luvenia,F,3932
Marjorie,F,272450
Maybelle,F,6043
Mellie,F,2105
Nan,F,10267
Pearlie,F,18122
Sidney,F,23784
Velma,F,86625
Clare,F,29369
Constance,F,139092
Dixie,F,43209
Ila,F,22399
Iola,F,9599
Jimmie,F,22967
Louvenia,F,3625
Lucia,F,43344
Ludie,F,2687
Luna,F,33656
Metta,F,1098
Patsy,F,119311
Phebe,F,2760
Sophronia,F,1506
Adda,F,946
Avis,F,17149
Betsy,F,48388
Bonnie,F,324421
Cecil,F,7682
Cordie,F,2064
Emmaline,F,5824
Ethelyn,F,4450
Hortense,F,6313
June,F,193399
Louie,F,2200
Lovie,F,5771
Marcella,F,63899
Melinda,F,135146
Mona,F,45140
Odessa,F,17634
Veronica,F,218247
Aimee,F,53589
Annabel,F,13911
Ava,F,265818
Bella,F,61989
Carolina,F,42986
Cathrine,F,7703
Christena,F,2834
Clyde,F,3932
Dena,F,32250
Dolores,F,211012
Eleanore,F,17885
Elmira,F,4297
Fay,F,31784
Frank,F,4611
Jenny,F,90940
Kizzie,F,1741
Lonnie,F,6873
Loula,F,616
Magdalene,F,9113
Mettie,F,1030
Mintie,F,446
Peggy,F,292610
Reba,F,35286
Serena,F,41624
Vida,F,10859
Zada,F,2916
Abigail,F,366323
Celestine,F,9590
Celina,F,14583
Claudie,F,3739
Clemmie,F,2631
Connie,F,266402
Daisie,F,1044
Deborah,F,740705
Dessa,F,1721
Easter,F,5513
Eddie,F,15695
Emelia,F,9784
Emmie,F,7414
Imogene,F,27440
India,F,22423
Jeanne,F,162980
Joan,F,480039
Lenore,F,22437
Liddie,F,1281
Lotta,F,499
Mame,F,582
Nevada,F,2934
Rachael,F,82093
Robert,F,20099
Sina,F,1640
Willa,F,27158
Aline,F,14404
Beryl,F,10076
Charles,F,12418
Daisey,F,2389
Dorcas,F,7073
Edmonia,F,899
Effa,F,312
Eldora,F,4059
Eloise,F,52732
Emmer,F,2155
Era,F,5609
Gena,F,12799
Henry,F,4525
Iris,F,81781
Izora,F,1136
Lennie,F,4557
Lissie,F,934
Mallie,F,3118
Malvina,F,1680
Mathilde,F,1640
Mazie,F,8201
Queenie,F,3780
Rosina,F,5377
Salome,F,3576
Theodora,F,10097
Therese,F,35129
Vena,F,2777
Wanda,F,281046
Wilda,F,12752
Altha,F,3365
Anastasia,F,44543
Besse,F,671
Bird,F,121
Birtie,F,946
Clarissa,F,38655
Claude,F,953
Delilah,F,39927
Diana,F,359205
Emelie,F,2365
Erna,F,9054
Fern,F,36601
Florida,F,3527
Frona,F,873
Hilma,F,2999
Joseph,F,10654
Juliet,F,30202
Leonie,F,1786
Lugenia,F,781
Mammie,F,2522
Manda,F,3294
Manerva,F,60
Manie,F,529
Nella,F,3893
Paulina,F,17686
Philomena,F,9318
Rae,F,22013
Selina,F,17995
Sena,F,2765
Theodosia,F,1506
Tommie,F,17415
Una,F,7721
Vernie,F,3958
Adela,F,12644
Althea,F,16839
Amalia,F,12718
Amber,F,370581
Angelina,F,118965
Annabelle,F,59603
Anner,F,1037
Arie,F,3317
Clarice,F,25181
Corda,F,567
Corrie,F,8284
Dell,F,2544
Dellar,F,576
Donie,F,956
Doris,F,461943
Elda,F,8867
Elinor,F,20532
Emeline,F,3141
Emilia,F,35909
Esta,F,4397
Estell,F,4232
Etha,F,1802
Fred,F,2029
Hope,F,88887
Indiana,F,1396
Ione,F,9907
Jettie,F,3619
Johnnie,F,48945
Josiephine,F,1061
Kitty,F,11627
Lavina,F,6507
Leda,F,3335
Letta,F,746
Mahala,F,2722
Marcia,F,133038
Margarette,F,6094
Maudie,F,11781
Maye,F,1891
Norah,F,22665
Oda,F,1324
Patty,F,62437
Paula,F,278348
Permelia,F,551
Rosalia,F,7638
Roxanna,F,13025
Sula,F,1351
Vada,F,10726
Winnifred,F,4725
Adline,F,1177
Almira,F,1734
Alvena,F,1601
Arizona,F,2716
Becky,F,86616
Bennie,F,9733
Bernadette,F,53670
Camille,F,67052
Cordia,F,1456
Corine,F,14521
Dicie,F,1167
Dove,F,834
Drusilla,F,2883
Elena,F,77781
Elenora,F,3389
Elmina,F,759
Ethyl,F,2395
Evalyn,F,8156
Evelina,F,4813
Faye,F,68509
Huldah,F,850
Idell,F,3425
Inga,F,4018
Irena,F,1998
Jewell,F,29320
Kattie,F,5570
Lavenia,F,1691
Leslie,F,267081
Lovina,F,2133
Lulie,F,187
Magnolia,F,10249
Margeret,F,972
Margery,F,15759
Media,F,473
Millicent,F,11011
Nena,F,4838
Ocie,F,4057
Orilla,F,225
Osie,F,1354
Pansy,F,10953
Ray,F,5438
Rosia,F,3506
Rowena,F,10257
Shirley,F,685381
Tabitha,F,58034
Thomas,F,8472
Verdie,F,2614
Walter,F,3633
Zetta,F,2021
Zoa,F,498
Zona,F,4486
Albertina,F,1641
Albina,F,4953
Alyce,F,17221
Amie,F,21360
Angela,F,664960
Annis,F,2914
Carol,F,816291
Carra,F,1320
Clarence,F,1859
Clarinda,F,1325
Delphia,F,4236
Dillie,F,537
Doshie,F,799
Drucilla,F,3553
Etna,F,676
Eugenie,F,3368
Eulalia,F,4474
Eve,F,25384
Felicia,F,90856
Florance,F,1672
Fronie,F,789
Geraldine,F,210522
Gina,F,152276
Glenna,F,25573
Grayce,F,4268
Hedwig,F,3077
Jessica,F,1046051
Jossie,F,1985
Katheryn,F,14899
Katy,F,20373
Lea,F,31344
Leanna,F,23846
Leitha,F,731
Leone,F,6124
Lidie,F,91
Loma,F,2284
Lular,F,572
Magdalen,F,3169
Maymie,F,1054
Minervia,F,95
Muriel,F,54692
Neppie,F,38
Olie,F,420
Onie,F,1786
Osa,F,653
Otelia,F,1184
Paralee,F,1215
Patience,F,10958
Rella,F,1276
Rillie,F,69
Rosanna,F,14125
Theo,F,3220
Tilda,F,1923
Tishie,F,312
Tressa,F,6966
Viva,F,3510
Yetta,F,3788
Zena,F,5392
Zola,F,7613
Abby,F,58236
Aileen,F,34853
Alba,F,6155
Alda,F,4959
Alla,F,1157
Alverta,F,2441
Ara,F,3151
Ardelia,F,1370
Ardella,F,3453
Arrie,F,1752
Arvilla,F,2931
Augustine,F,3650
Aurora,F,57085
Bama,F,498
Bena,F,600
Byrd,F,253
Calla,F,3461
Camilla,F,23059
Carey,F,12704
Carlotta,F,6218
Celestia,F,1183
Cherry,F,11380
Cinda,F,4590
Classie,F,1607
Claudine,F,11307
Clemie,F,211
Clifford,F,2019
Clyda,F,758
Creola,F,1742
Debbie,F,187673
Dee,F,15831
Dinah,F,10214
Doshia,F,763
Ednah,F,75
Edyth,F,2241
Eleanora,F,6464
Electa,F,1181
Eola,F,740
Erie,F,1417
Eudora,F,2066
Euphemia,F,675
Evalena,F,1273
Evaline,F,1561
Faith,F,136274
Fidelia,F,711
Freddie,F,10255
Golda,F,6016
Harry,F,2017
Helma,F,595
Hermine,F,1534
Hessie,F,1118
Ivah,F,865
Janette,F,31941
Jennette,F,3522
Joella,F,3815
Kathryne,F,5913
Lacy,F,19732
Lanie,F,4911
Lauretta,F,9633
Leana,F,4447
Leatha,F,6023
Leo,F,1949
Liller,F,333
Lillis,F,637
Louetta,F,1520
Madie,F,3168
Mai,F,5308
Martina,F,17350
Maryann,F,62218
Melva,F,14149
Mena,F,1362
Mercedes,F,44961
Merle,F,14717
Mima,F,719
Minda,F,1594
Monica,F,248400
Nealie,F,771
Netta,F,1074
Nolia,F,532
Nonie,F,1350
Odelia,F,2552
Ottilie,F,784
Phyllis,F,322391
Robbie,F,22290
Sabina,F,7538
Sada,F,1243
Sammie,F,7597
Suzanne,F,218879
Sybilla,F,174
Thea,F,13038
Tressie,F,5331
Vallie,F,3161
Venie,F,341
Viney,F,376
Wilhelmine,F,519
Winona,F,11063
Zelda,F,13731
Zilpha,F,570
Adelle,F,5217
Adina,F,6285
Adrienne,F,67005
Albertine,F,2196
Alys,F,1224
Ana,F,101797
Araminta,F,270
Arthur,F,3193
Birtha,F,1973
Bulah,F,3027
Caddie,F,96
Celie,F,496
Charlotta,F,966
Clair,F,4106
Concepcion,F,5175
Cordella,F,377
Corrine,F,20557
Delila,F,3226
Delphine,F,10143
Dosha,F,384
Edgar,F,705
Elaine,F,257740
Elisa,F,42693
Ellar,F,511
Elmire,F,213
Elvina,F,2541
Ena,F,3284
Estie,F,279
Etter,F,476
Fronnie,F,213
Genie,F,2700
Georgina,F,15553
Glenn,F,2136
Gracia,F,1864
Guadalupe,F,65156
Gwendolyn,F,118621
Hassie,F,1543
Honora,F,1586
Icy,F,1087
Isa,F,2760
Isadora,F,3533
Jesse,F,12020
Jewel,F,40038
Joe,F,11318
Johannah,F,2947
Juana,F,17564
Judith,F,452483
Judy,F,382081
Junie,F,1323
Lavonia,F,1901
Lella,F,864
Lemma,F,262
Letty,F,3643
Linna,F,834
Littie,F,623
Lollie,F,1014
Lorene,F,39225
Louis,F,2819
Love,F,2810
Lovisa,F,32
Lucina,F,1328
Lynn,F,181904
Madora,F,357
Mahalia,F,1988
Manervia,F,40
Manuela,F,10474
Margarett,F,4904
Margaretta,F,2534
Margarita,F,39466
Marilla,F,704
Mignon,F,2239
Mozella,F,1823
Natalie,F,352491
Nelia,F,1479
Nolie,F,281
Omie,F,1145
Opal,F,69432
Ossie,F,2916
Ottie,F,1264
Ottilia,F,536
Parthenia,F,1415
Penelope,F,65643
Pinkey,F,579
Pollie,F,1265
Rennie,F,879
Reta,F,8614
Roena,F,984
Rosalee,F,10854
Roseanna,F,5672
Ruthie,F,20839
Sabra,F,4909
Sannie,F,21
Selena,F,50739
Sibyl,F,4351
Tella,F,54
Tempie,F,1681
Tennessee,F,798
Teressa,F,6464
Texas,F,218
Theda,F,6539
Thelma,F,225260
Thursa,F,150
Ula,F,1584
Vannie,F,830
Verona,F,4165
Vertie,F,1543
Wilma,F,139802
John,M,5124817
William,M,4117369
James,M,5164280
Charles,M,2392779
George,M,1467292
Frank,M,911169
Joseph,M,2613304
Thomas,M,2311849
Henry,M,689814
Robert,M,4820129
Edward,M,1291031
Harry,M,421344
Walter,M,622099
Arthur,M,528941
Fred,M,342994
Albert,M,488248
Samuel,M,759924
David,M,3621322
Louis,M,396351
Joe,M,451148
Charlie,M,169733
Clarence,M,302615
Richard,M,2565301
Andrew,M,1291279
Daniel,M,1918752
Ernest,M,301046
Will,M,44616
Jesse,M,418712
Oscar,M,200800
Lewis,M,151264
Peter,M,576763
Benjamin,M,748465
Frederick,M,261451
Willie,M,448946
Alfred,M,241906
Sam,M,124257
Roy,M,404872
Herbert,M,227839
Jacob,M,931472
Tom,M,139306
Elmer,M,128398
Carl,M,503060
Lee,M,231130
Howard,M,345119
Martin,M,307609
Michael,M,4362731
Bert,M,33508
Herman,M,135551
Jim,M,152879
Francis,M,285802
Harvey,M,120960
Earl,M,288611
Eugene,M,378802
Ralph,M,412640
Ed,M,26175
Claude,M,91056
Edwin,M,241283
Ben,M,83077
Charley,M,23360
Paul,M,1388499
Edgar,M,152036
Isaac,M,282912
Otto,M,32655
Luther,M,66134
Lawrence,M,457358
Ira,M,53468
Patrick,M,674579
Guy,M,89744
Oliver,M,166396
Theodore,M,243603
Hugh,M,81531
Clyde,M,142494
Alexander,M,673192
August,M,45409
Floyd,M,153869
Homer,M,60703
Jack,M,693969
Leonard,M,291416
Horace,M,54024
Marion,M,72075
Philip,M,339577
Allen,M,267721
Archie,M,50455
Stephen,M,858041
Chester,M,120782
Willis,M,51939
Raymond,M,773028
Rufus,M,35884
Warren,M,176760
Jessie,M,110212
Milton,M,116951
Alex,M,272489
Leo,M,204864
Julius,M,78280
Ray,M,202425
Sidney,M,83110
Bernard,M,199089
Dan,M,105920
Jerry,M,612660
Calvin,M,202919
Perry,M,75006
Dave,M,63922
Anthony,M,1440846
Eddie,M,209714
Amos,M,33563
Dennis,M,617953
Clifford,M,187245
Leroy,M,199090
Wesley,M,215986
Alonzo,M,41722
Garfield,M,5548
Franklin,M,136105
Emil,M,31943
Leon,M,166618
Nathan,M,549444
Harold,M,549867
Matthew,M,1600511
Levi,M,148284
Moses,M,39161
Everett,M,107287
Lester,M,129916
Winfield,M,5168
Adam,M,554501
Lloyd,M,160273
Mack,M,38612
Fredrick,M,63701
Jay,M,189569
Jess,M,24908
Melvin,M,242760
Noah,M,393703
Aaron,M,581330
Alvin,M,158903
Norman,M,251970
Gilbert,M,129006
Elijah,M,294472
Victor,M,317673
Gus,M,18904
Nelson,M,77267
Jasper,M,42613
Silas,M,47318
Jake,M,123068
Christopher,M,2029565
Mike,M,204551
Percy,M,31466
Adolph,M,18719
Maurice,M,134504
Cornelius,M,35764
Felix,M,70111
Reuben,M,30148
Wallace,M,81580
Claud,M,10893
Roscoe,M,21646
Sylvester,M,42759
Earnest,M,58216
Hiram,M,13750
Otis,M,58217
Simon,M,60129
Willard,M,77354
Irvin,M,39325
Mark,M,1351766
Jose,M,565042
Wilbur,M,56672
Abraham,M,91031
Virgil,M,71278
Clinton,M,96771
Elbert,M,33453
Leslie,M,112726
Marshall,M,91352
Owen,M,187306
Wiley,M,17165
Anton,M,22904
Morris,M,70338
Manuel,M,184429
Phillip,M,307971
Augustus,M,16934
Emmett,M,55537
Eli,M,121334
Nicholas,M,900283
Wilson,M,45977
Alva,M,11212
Harley,M,38921
Newton,M,7997
Timothy,M,1070925
Marvin,M,251026
Ross,M,80917
Curtis,M,258397
Edmund,M,50889
Jeff,M,119964
Elias,M,80837
Harrison,M,77243
Stanley,M,299175
Columbus,M,7505
Lon,M,9816
Ora,M,5599
Ollie,M,16269
Pearl,M,3921
Russell,M,353651
Solomon,M,32814
Arch,M,2429
Asa,M,16853
Clayton,M,131091
Enoch,M,10798
Irving,M,43662
Mathew,M,75453
Nathaniel,M,267740
Scott,M,771601
Hubert,M,57357
Lemuel,M,9479
Andy,M,89375
Ellis,M,42375
Emanuel,M,50191
Joshua,M,1210013
Millard,M,16716
Vernon,M,145573
Wade,M,69653
Cyrus,M,21804
Miles,M,82002
Rudolph,M,53223
Sherman,M,38995
Austin,M,412329
Bill,M,160315
Chas,M,3205
Lonnie,M,93825
Monroe,M,16083
Byron,M,80202
Edd,M,5437
Emery,M,18082
Grant,M,124660
Jerome,M,159909
Max,M,150976
Mose,M,7757
Steve,M,240391
Gordon,M,153282
Abe,M,9240
Pete,M,43166
Chris,M,144571
Clark,M,45447
Gustave,M,5363
Orville,M,34965
Lorenzo,M,66041
Bruce,M,382879
Marcus,M,230919
Preston,M,113238
Bob,M,92929
Dock,M,5372
Donald,M,1411600
Jackson,M,239362
Cecil,M,106194
Barney,M,16066
Delbert,M,46798
Edmond,M,24412
Anderson,M,26971
Christian,M,421512
Glenn,M,247741
Jefferson,M,22049
Luke,M,270240
Neal,M,54341
Burt,M,6554
Ike,M,6951
Myron,M,44675
Tony,M,248980
Conrad,M,35170
Joel,M,267019
Matt,M,23630
Riley,M,94278
Vincent,M,341193
Emory,M,16982
Isaiah,M,214387
Nick,M,49506
Ezra,M,52318
Green,M,2033
Juan,M,347717
Clifton,M,69578
Lucius,M,9030
Porter,M,16588
Arnold,M,103074
Bud,M,9436
Jeremiah,M,196147
Taylor,M,110390
Forrest,M,48471
Roland,M,97627
Spencer,M,117091
Burton,M,22301
Don,M,166945
Emmet,M,6043
Gustav,M,4020
Louie,M,28207
Morgan,M,42308
Ned,M,17213
Van,M,27656
Ambrose,M,8565
Chauncey,M,9435
Elisha,M,13595
Ferdinand,M,8745
General,M,3969
Julian,M,211674
Kenneth,M,1274359
Mitchell,M,161932
Allie,M,3122
Josh,M,16608
Judson,M,12046
Lyman,M,8510
Napoleon,M,7703
Pedro,M,88819
Berry,M,5678
Dewitt,M,7173
Ervin,M,38261
Forest,M,15449
Lynn,M,52268
Pink,M,1089
Ruben,M,111954
Sanford,M,14942
Ward,M,14724
Douglas,M,557703
Ole,M,1975
Omer,M,8360
Ulysses,M,17395
Walker,M,25015
Wilbert,M,39862
Adelbert,M,2373
Benjiman,M,4212
Ivan,M,133264
Jonas,M,24495
Major,M,16837
Abner,M,7846
Archibald,M,3061
Caleb,M,283758
Clint,M,32098
Dudley,M,11808
Granville,M,5485
King,M,26225
Mary,M,15165
Merton,M,4246
Antonio,M,247925
Bennie,M,52340
Carroll,M,35401
Freeman,M,10763
Josiah,M,107195
Milo,M,23612
Royal,M,14713
Dick,M,29269
Earle,M,11504
Elza,M,2111
Emerson,M,24472
Fletcher,M,14241
Judge,M,3509
Laurence,M,39241
Roger,M,439635
Seth,M,161357
Glen,M,125215
Hugo,M,32180
Jimmie,M,111927
Johnnie,M,101573
Neil,M,102552
Washington,M,2590
Elwood,M,20425
Gust,M,1870
Harmon,M,6465
Jordan,M,374513
Simeon,M,8150
Wayne,M,352326
Wilber,M,6674
Clem,M,4274
Evan,M,266614
Frederic,M,14162
Irwin,M,15842
Junius,M,5327
Lafayette,M,4786
Loren,M,46099
Madison,M,7661
Mason,M,283409
Orval,M,7915
Abram,M,17090
